person_id,job_title,keywords,year
1,Drug-Induced Liver Injury Prediction Using In Vitro Systems,DILI;toxicology;in-vitro,2024
2,Hepatic Spheroids for Safety Assessment,hepatic;toxicity;3D models,2023
3,New Approach Methodologies in Preclinical Safety,NAMs;preclinical;safety,2024
4,Translational Safety Assessment Using 3D Liver Models,3D liver;toxicology,2023
5,Advances in Safety Pharmacology for Liver Toxicity,safety pharmacology;DILI,2024
6,In Vitro Platforms for Predicting Hepatic Risk,in-vitro;hepatic risk,2024
7,Translational Toxicology in Drug Development,translational toxicology;drug safety,2023
8,Preclinical Liver Safety Models Using NAMs,preclinical;safety;NAMs,2024
9,Mechanistic Toxicology Approaches for Liver Injury,mechanistic toxicology;liver injury,2023
10,High-Throughput Toxicology Screening Using 3D Systems,high-throughput;3D models,2024
11,Early Risk Identification in Toxicology Studies,early risk;toxicology,2022
12,Preclinical Safety Evaluation Strategies,preclinical safety;toxicology,2024
13,Hepatic Safety Models in Translational Research,hepatic safety;translational,2023
14,Investigative Toxicology Trends in Drug Discovery,investigative toxicology,2024
15,Organ-on-Chip Technologies for Safety Testing,organ-on-chip;in-vitro,2023
16,Drug Safety Decision-Making Frameworks,drug safety;decision science,2024
17,Application of In Vitro Models in Regulatory Toxicology,regulatory toxicology;in-vitro,2023
18,Preclinical Toxicology Risk Mitigation Strategies,preclinical risk;toxicology,2024
19,Integrated Safety Assessment Pipelines,integrated safety;drug development,2023
20,Translational Risk Assessment in Liver Toxicology,translational risk;liver toxicity,2024
21,Toxicology Screening Using Advanced Hepatic Models,hepatic models;screening,2023
22,Drug-Induced Liver Injury Mechanisms,DILI;mechanisms,2024
23,Next-Generation Safety Sciences,next-gen safety;toxicology,2023
24,In Vitro-In Vivo Correlation in Liver Safety,IVIVC;liver safety,2024
25,3D Cell Culture Models for Toxicity Prediction,3D culture;toxicity,2023
26,Regulatory Perspectives on NAMs in Toxicology,NAMs;regulatory science,2024
27,Preclinical Safety Biomarkers for Liver Injury,biomarkers;liver injury,2023
28,Toxicology Risk Assessment Using Mechanistic Data,risk assessment;toxicology,2024
29,Innovations in Drug Safety Sciences,drug safety;innovation,2023
30,Integrated Toxicology Platforms for Liver Safety,integrated platforms;liver safety,2024
31,Computational and Experimental Toxicology Integration,computational toxicology,2023
32,Preclinical Liver Safety Case Studies,liver safety;case studies,2024
33,Advances in Hepatic Safety Screening,hepatic screening,2023
34,Investigative Toxicology in Translational Medicine,investigative toxicology;translation,2024
35,3D In Vitro Models for Risk Assessment,3D in-vitro;risk assessment,2023
36,Drug Safety Challenges in Early Development,early development;drug safety,2024
37,Application of NAMs in Hepatic Toxicology,NAMs;hepatic toxicology,2023
38,Toxicology Strategies for Liver Risk Reduction,liver risk;toxicology,2024
39,Organ-on-Chip Systems for Safety Evaluation,organ-on-chip;safety evaluation,2023
40,Preclinical Decision Support in Drug Safety,decision support;preclinical safety,2024
41,Next-Generation Toxicology Workflows,toxicology workflows,2023
42,Liver Safety Assessment Using Translational Models,translational models;liver safety,2024
43,In Vitro Toxicology for Regulatory Submissions,regulatory submissions;in-vitro,2023
44,Advanced Safety Assessment Methodologies,safety methodologies,2024
45,Hepatic Risk Prediction in Drug Discovery,hepatic risk;drug discovery,2023
46,Innovations in Preclinical Safety Sciences,preclinical safety;innovation,2024
47,Translational Toxicology Case Applications,translational toxicology,2023
48,Integrated Risk Models for Liver Toxicity,integrated risk;liver toxicity,2024
49,3D Liver Systems in Toxicology Testing,3D liver;toxicology testing,2023
50,Future Directions in Drug Safety Science,drug safety;future trends,2024
